exp_id,weight_encode,activation_encode,pruning_rate,sigma,avg_weight_density,avg_activation_density
1,twos_complement,twos_complement,0.0,0.0,0.4990005777217448,0.5163539265178971
2,twos_complement,twos_complement,0.1,0.0,0.45361947713212836,0.5163256225900518
3,twos_complement,twos_complement,0.2,0.0,0.4041016925022834,0.5161920100347035
4,twos_complement,twos_complement,0.3,0.0,0.35461108257166213,0.5162542281775839
5,twos_complement,twos_complement,0.4,0.0,0.30530626104316777,0.5168046638783481
6,twos_complement,differential,0.0,0.0,0.4990005777217448,0.17507094166375378
7,twos_complement,differential,0.1,0.0,0.45361947713212836,0.17508081212930746
8,twos_complement,differential,0.2,0.0,0.4041016925022834,0.17508108432746355
9,twos_complement,differential,0.3,0.0,0.35461108257166213,0.1754478093270235
10,twos_complement,differential,0.4,0.0,0.30530626104316777,0.17563753323557443
11,differential,twos_complement,0.0,0.0,0.19905338774339135,0.5163539265178971
12,differential,twos_complement,0.1,0.0,0.19091780886741444,0.5163256225900518
13,differential,twos_complement,0.2,0.0,0.17705451295940236,0.5161920100347035
14,differential,twos_complement,0.3,0.0,0.16016224596745496,0.5162542281775839
15,differential,twos_complement,0.4,0.0,0.14232750028733993,0.5168046638783481
16,differential,differential,0.0,0.0,0.19905338774339135,0.17507094166375378
17,differential,differential,0.1,0.0,0.19091780886741444,0.17508081212930746
18,differential,differential,0.2,0.0,0.17705451295940236,0.17508108432746355
19,differential,differential,0.3,0.0,0.16016224596745496,0.1754478093270235
20,differential,differential,0.4,0.0,0.14232750028733993,0.17563753323557443
